Job Title,Industry,Key Skills
Android App Tester,IT,"Mobile Testing, Bug Reporting, JIRA, ADB, Appium, Android, Regression Testing"
Area Sales Manager,FMCG,"Team Management, Distributor Management, Sales Target, MS Excel, Route Planning"
Dental Surgeon,Healthcare,"Tooth Extraction, Root Canal, Dental Implants, Orthodontics, Radiovisiography"
UI/UX Designer,IT,"Figma, Adobe XD, Wireframing, Prototyping, User Research, HTML, CSS"
Maintenance Fitter,Manufacturing,"Lathe Machine, Drilling, Fitting, Preventive Maintenance, Blueprint Reading, Safety"
Cost Accountant,Finance,"Cost Audit, CMA, SAP, Standard Costing, Variance Analysis, MIS, Budget Control"
Geophysicist,Mining,"Seismic Survey, Gravity Survey, Resistivity Survey, Borehole Geophysics, Geosoft"
Front Office Executive,Healthcare,"Patient Registration, Scheduling, Communication, MS Office, Billing, Customer Care"
Python Developer,IT,"Python, Django, Flask, REST API, PostgreSQL, Git, Docker, Unit Testing"
Iron Ore Beneficiation Operator,Mining,"Crushing, Screening, Magnetic Separation, Process Control, Safety, Metallurgy"
Bank PO,Banking & Finance,"Reasoning, Quantitative Aptitude, English, General Awareness, IBPS, Core Banking"
Structural Engineer,Construction,"STAAD Pro, ETABS, RCC Design, Steel Design, IS Code, AutoCAD, Foundation"
AYUSH Doctor,Healthcare,"Ayurveda, Herbal Medicine, Patient Care, Clinical Practice, Panchakarma, OPD"
Field Service Engineer,Manufacturing,"On-site Maintenance, Troubleshooting, Customer Support, Report Writing, Travel"
Power Plant Engineer,Power & Energy,"Boiler Operation, Turbine, Generator, DCS, Safety, Load Dispatching, SCADA"
Procurement Officer,Supply Chain,"Vendor Management, Purchase Order, Negotiation, SAP MM, Tendering, Cost Saving"
Digital Marketing Executive,IT,"SEO, Google Ads, Social Media, Content Writing, Email Marketing, Analytics"
Occupational Health Officer,Mining,"OHC Management, First Aid, Health Surveillance, Statutory Compliance, Ergonomics"
Hydrologist,Mining,"Groundwater Modelling, MODFLOW, Hydrogeological Survey, Pump Testing, Well Logging"
Credit Analyst,Banking & Finance,"Credit Appraisal, Financial Statement Analysis, Risk Assessment, Loan Processing"
Metallurgist,Steel & Metals,"Metallurgical Testing, Microstructure Analysis, Failure Analysis, Quality Control"
Construction Site Engineer,Construction,"Site Supervision, BOQ, Quality Control, Safety, AutoCAD, Concrete, Brick Work"
GIS Analyst,Mining,"ArcGIS, QGIS, Spatial Analysis, Remote Sensing, GPS, Map Preparation, Drone Survey"
Paramedic,Healthcare,"Emergency Response, BLS, ALS, Patient Transport, Triage, First Aid, ECG"
ERP Consultant,IT,"SAP, Oracle ERP, Business Process, Customization, Training, Go-Live Support"
Coal Washery Operator,Mining,"Dense Medium Cyclone, Froth Flotation, Jig, Coal Preparation, Safety, Lab Testing"
HVAC Technician,Construction,"Air Conditioning, Chiller, AHU, Duct Fabrication, VRF, Cooling Tower, Refrigeration"
Legal Officer,Corporate,"Contract Drafting, Litigation, Labour Law, Compliance, Due Diligence, Legal Research"
Radiation Safety Officer,Healthcare,"AERB Compliance, Radiation Monitoring, Dosimetry, Safety Training, Waste Disposal"
Mechanical Maintenance Technician,Manufacturing,"Bearing Replacement, Gear Box, Conveyor, Pump Maintenance, Welding, Safety"
Rural Development Officer,Government,"Panchayati Raj, Scheme Implementation, Community Mobilization, Report Writing"
Accounts Payable Executive,Finance,"Invoice Processing, Vendor Payment, SAP FI, Reconciliation, TDS, GST, MS Excel"
Reservoir Engineer,Mining,"Reservoir Modelling, Eclipse, Petrel, Well Test Analysis, Material Balance"
Junior Engineer (Civil),Government,"Road Construction, Drainage, Estimation, Site Supervision, AutoCAD, IS Code"
Lab Chemist,Steel & Metals,"Chemical Analysis, Spectroscopy, XRF, Titration, LIMS, ISO, Lab Safety, SOP"
Treasury Analyst,Banking & Finance,"Cash Management, Forex, Liquidity, Bloomberg, MS Excel, Hedging, FX Exposure"
Coal Mine Manager,Mining,"DGMS First Class, Mine Management, Statutory Compliance, Ventilation, Safety"
Radiotherapy Technician,Healthcare,"Linear Accelerator, Treatment Planning, Dosimetry, Radiation Safety, Patient Care"
Dermatologist,Healthcare,"Skin Disorders, Dermatoscopy, Laser Treatment, Aesthetic Procedures, OPD"
BPO Team Leader,BPO & Telecom,"Team Management, Quality Monitoring, Escalation Handling, MIS, Coaching"
Irrigation Engineer,Government,"Canal Design, Hydrological Survey, AutoCAD, IS Code, Estimation, Field Survey"
Industrial Safety Officer,Manufacturing,"Safety Audit, OHSAS 18001, Incident Investigation, PPE, Fire Safety, Compliance"
Mechanical Design Engineer,Manufacturing,"SolidWorks, CATIA, FEA, GD&T, DFMEA, Product Design, BOM, AutoCAD"
Revenue Inspector,Government,"Land Records, Survey, Mutation, Jamabandi, Khasra, GPS, Field Verification"
Embedded Systems Engineer,IT,"C, C++, ARM, RTOS, Microcontroller, PCB Design, UART, SPI, I2C, Firmware"
Veterinary Officer,Government,"Animal Disease, Vaccination, Livestock Management, OPD, Lab Diagnosis, AI"
Water Treatment Plant Operator,Government,"RO Plant, Chemical Dosing, Filtration, Sludge Management, Water Quality Testing"
Radiology Technician,Healthcare,"CT Scan, MRI, Digital X-Ray, PACS, DICOM, Positioning, Patient Safety"
Social Worker,Non-profit & NGO,"Community Outreach, Case Management, Counselling, Report Writing, Field Work"
Hydrogeologist,Mining,"Groundwater Survey, Well Design, Aquifer Testing, MODFLOW, Hydrochemistry"
Credit Officer,Banking & Finance,"KYC, Loan Assessment, CIBIL, Field Verification, Microfinance, Customer Service"
Sericulture Officer,Agriculture,"Silk Worm Rearing, Mulberry Cultivation, Disease Management, Extension Work"
Quantity Surveyor,Construction,"BOQ, Rate Analysis, Tender, MS Excel, AutoCAD, Measurement, Procurement"
Underground Mine Operator,Mining,"Underground Mining, Roof Bolting, Loader Operation, Gas Detection, DGMS, Safety"
Physiotherapist,Healthcare,"Musculoskeletal, Neurological Rehab, Electrotherapy, Exercise Therapy, OPD"
Biodiversity Officer,Government,"Wildlife Survey, Forest Mapping, GIS, Environmental Compliance, Community Work"
Cement Plant Operator,Manufacturing,"Kiln Operation, Cement Mill, Quality Control, DCS, Safety, Process Optimization"
Tribal Welfare Officer,Government,"Tribal Policy, Scheme Implementation, Community Liaison, Field Work, Report Writing"
Angular Developer,IT,"Angular, TypeScript, RxJS, REST API, HTML, CSS, Git, Unit Testing, Jasmine"
Ventilation Engineer,Mining,"Ventilation Survey, CFD, Fan Design, Gas Monitoring, DGMS Compliance, Safety"
Forest Guard,Government,"Forest Patrolling, Wildlife Protection, Fire Prevention, Plantation, Field Work"
Power Electronics Engineer,Manufacturing,"IGBT, Inverter, Converter, Drive Systems, MATLAB, Simulink, Control System"
Mine Planning Engineer,Mining,"Vulcan, Surpac, Deswik, Minex, Resource Estimation, Pit Optimization, Scheduling"
Hospital Administrator,Healthcare,"Hospital Operations, MIS, Billing, Staff Management, NABH, Compliance, Budget"
Rural Marketing Executive,FMCG,"Rural Sales, Channel Development, Village Coverage, BTL Activation, Distribution"
Insurance Advisor,Banking & Finance,"Life Insurance, IRDA, Policy Sales, Client Management, Premium Collection"
React Native Developer,IT,"React Native, JavaScript, Redux, REST API, iOS, Android, Firebase, Git"
Jharkhand Civil Services Officer,Government,"JPSC, Public Administration, Law, Economics, General Studies, Hindi, English"
Agri Extension Officer,Agriculture,"Crop Management, Soil Health, Fertigation, Pest Control, Farmer Training, KVK"
Coal Project Manager,Mining,"Project Planning, MS Project, Budgeting, Stakeholder Management, DGMS, Mining"
Teacher (Secondary),Education,"Subject Knowledge, Lesson Plan, Board Exam Prep, Smart Class, NCF, CBSE, JCERT"
Renewable Energy Technician,Power & Energy,"Solar Panel Installation, Inverter, Battery, Wind Energy, O&M, Electrical Safety"
ASHA Worker Coordinator,Healthcare,"ASHA Training, MIS, Field Monitoring, NHM, MCH, Immunization, Community Health"
Security Supervisor,Corporate,"CCTV Monitoring, Access Control, Incident Reporting, Guard Management, Safety"
PHP Developer,IT,"PHP, Laravel, MySQL, REST API, JavaScript, HTML, CSS, Git, MVC Architecture"
Mine Electrical Engineer,Mining,"HT/LT Distribution, Flameproof Equipment, DGMS, Motor Control, Safety, PLC"
Pediatrician,Healthcare,"Child Health, Neonatology, Vaccination, Growth Monitoring, Infectious Disease, OPD"
EHS Officer,Manufacturing,"Environment Health Safety, ISO 14001, OHSAS, Legal Compliance, Incident Reports"
Accounts Manager,Finance,"P&L Management, MIS, Finalization, SAP, GST, TDS, Audit, Team Management"
Mine Foreman,Mining,"Shift Supervision, DGMS, Blasting, Safety, Production Target, Team Management"
Occupational Therapist,Healthcare,"Rehabilitation, ADL Training, Cognitive Therapy, Sensory Integration, Assessment"
SCADA Engineer,Power & Energy,"SCADA, HMI, RTU, Automation, PLC, Control System, Data Acquisition, Modbus"
Steel Quality Engineer,Steel & Metals,"Spectrometry, Hardness Testing, Tensile Testing, IS Standards, SPC, PPAP, FMEA"
Tribal Language Teacher,Education,"Santali, Ho, Mundari, Tribal Culture, Lesson Planning, JCERT, Community Teaching"
Solar Project Engineer,Power & Energy,"Solar Design, AutoCAD, PVSyst, Grid Tie, Inverter, Commissioning, O&M"
Cloud Engineer,IT,"AWS, Azure, Terraform, Docker, Kubernetes, CI/CD, Linux, Cloud Security"
Mine HR Executive,Mining,"Recruitment, Payroll, Contract Labour, DGMS Records, Labour Compliance, HRMS"
Physiotherapy Assistant,Healthcare,"Exercise Training, Electrotherapy, Hot and Cold Pack, Gait Training, Assisting PT"
Block Development Officer,Government,"Rural Development, MGNREGA, Scheme Monitoring, Gram Panchayat, Administration"
Angular Full Stack Developer,IT,"Angular, Node.js, MongoDB, TypeScript, REST API, Express, Docker, Git"
Steel Plant Electrical Engineer,Steel & Metals,"HV/MV Systems, Drive Control, Transformer, PLC, SCADA, Substation, Safety"
Wildlife Biologist,Government,"Camera Trapping, Animal Census, Habitat Mapping, GIS, Report Writing, Research"
NABARD Development Officer,Banking & Finance,"Rural Finance, SHG Linkage, Agricultural Credit, Project Appraisal, Field Visit"
Geomatics Engineer,Mining,"GPS, LiDAR, Photogrammetry, Drone Survey, ArcGIS, AutoCAD Civil 3D, GIS"
Community Health Worker,Healthcare,"Health Education, Immunization, Referral, ASHA, NHM, Home Visit, ANM"
Java Developer,IT,"Java, Spring, Hibernate, SQL, Maven, Git, REST API, JUnit, Microservices"
ITI Fitter,Manufacturing,"Fitting, Turning, Drilling, Grinding, Blueprint Reading, Safety, Precision Tools"
Mine Rescue Team Member,Mining,"Breathing Apparatus, Mine Rescue, First Aid, DGMS Trained, Emergency Response"
Contract Labour Manager,Corporate,"Contract Management, Labour Law, PF, ESI, Compliance, Contractor Billing, CLRA"
Horticulture Officer,Agriculture,"Fruit Crops, Vegetable Farming, Nursery Management, Pest Management, Extension"
Tourism Officer,Government,"Eco-Tourism, Heritage Sites, Tribal Tourism, Guide Training, Event Management"
Fire Safety Officer,Manufacturing,"Fire Prevention, Extinguisher Training, Fire Drill, NFPA, NBC Code, Risk Assessment"
Dialysis Technician,Healthcare,"Haemodialysis, Peritoneal Dialysis, AV Fistula, Water Treatment, Patient Monitoring"
Land Acquisition Officer,Government,"Land Records, Compensation, Arbitration, Rehabilitation, Legal Compliance, Survey"
Senior Accountant,Finance,"Finalization, GST Returns, TDS, Bank Reconciliation, MIS, Tally Prime, SAP"
Tribal Art Instructor,Education,"Paitkar Art, Tribal Painting, Craft Training, Community Workshops, Material Sourcing"
Mine Computer Operator,Mining,"MS Office, DGMS Records, Data Entry, MIS Report, Mine Planning Software, ERP"
React Developer,IT,"React.js, Redux, JavaScript, REST API, HTML5, CSS3, Git, Webpack, Jest"
Anesthesiologist,Healthcare,"General Anesthesia, Regional Block, Critical Care, ICU, Ventilator, OT Management"
Power Transmission Engineer,Power & Energy,"Transmission Lines, Substations, Protection Relay, SCADA, Load Flow, AutoCAD"
District Manager (FMCG),FMCG,"Distributor Management, P&L, Team Leadership, Coverage Plan, Scheme Execution"
Soil Scientist,Agriculture,"Soil Analysis, Nutrient Management, Soil Health Card, GIS, Field Survey, ICAR"
Mine Ventilation Officer,Mining,"Methane Monitoring, Fan Maintenance, Airway Survey, DGMS, Gas Chromatograph"
Orthopaedic Surgeon,Healthcare,"Fracture Management, Arthroscopy, Joint Replacement, OT, Trauma, Spine Surgery"
Embedded IoT Developer,IT,"ESP32, Raspberry Pi, MQTT, C, Python, Sensor Integration, Cloud IoT, Firmware"
Community Mobilizer,Non-profit & NGO,"SHG Formation, Village Meetings, Data Collection, Reporting, Field Work, NGO"
Construction QA/QC Engineer,Construction,"IS Code, Concrete Testing, Soil Test, NDT, Quality Plan, Inspection, AutoCAD"
Mine Accountant,Mining,"Mine Cost Accounting, SAP, Statutory Audit, Budget, Contractor Bills, MIS"
Tribal Health Worker,Healthcare,"Community Health, Tribal Medicine, Referral, Field Work, NHM, Home Visit"
Plant HR Officer,Manufacturing,"IR, Bipartite Settlement, ESI, PF, Labour Court, Grievance Handling, Compliance"
Forest Ranger,Government,"Forest Management, Wildlife Protection, Timber Valuation, Fire Control, Survey"
Digital Marketing Manager,IT,"SEO, SEM, Content Strategy, Analytics, Social Media, Email Marketing, Team Lead"
EV Technician,Automobile,"Electric Vehicle, Battery Management, Motor Control, CAN Bus, Diagnostic Tools"
JTAC Officer,Government,"JPSC, Civil Services, Law, Administration, Public Policy, General Studies"
GIS Developer,IT,"ArcGIS, QGIS, Leaflet.js, PostGIS, Remote Sensing, Python, Spatial Data"
Occupational Health Nurse,Mining,"OHC, Pre-Employment Check, Health Surveillance, First Aid, DGMS, Statutory"
Sericulture Development Assistant,Agriculture,"Cocoon Purchase, Rearer Training, Mulberry Supply, Disease Control, Extension"
Customer Care Executive,BPO & Telecom,"Inbound Calls, CRM, Problem Solving, English, Hindi, Email Support, KPI"
DevOps Engineer,IT,"Docker, Kubernetes, Jenkins, CI/CD, AWS, Linux, Terraform, Git, Ansible"
Coal Project Coordinator,Mining,"Project Tracking, MS Excel, Coordination, Timeline, MIS, Documentation"
Tribal Welfare Coordinator,Non-profit & NGO,"Tribal Rights, Scheme Linkage, Community Work, Field Visit, Reporting, NGO"
Steel Research Engineer,Steel & Metals,"R&D, Alloy Development, Characterization, Publication, Pilot Trials, Metallurgy"
Junior Data Scientist,IT,"Python, Scikit-learn, Pandas, ML Models, Jupyter, SQL, Statistics, Visualization"
Underground Mining Supervisor,Mining,"Roof Support, Development Work, Stoping, DGMS, Safety, Shift Report, Drilling"
MSME Loan Officer,Banking & Finance,"MSME Finance, Credit Appraisal, Business Loan, KYC, Field Visit, NPA Recovery"
Machine Learning Engineer,IT,"Python, TensorFlow, PyTorch, NLP, Feature Engineering, Model Deployment, MLOps"
Tribal Language Interpreter,Government,"Santali, Ho, Mundari, Oraon, Translation, Community Interface, Field Work"
Mine Water Management Engineer,Mining,"Dewatering, Pumping System, Sump Design, Water Treatment, Hydrogeology, Safety"
Farmer Producer Organization Manager,Agriculture,"FPO Management, Agri Marketing, SHG, Supply Chain, Government Scheme, Finance"
